pente	biais	MAEpentre	maeBiais
19.967860606865063	24.30660864370401	-104.2899713371645	-5.677321659728494
19.974118005145293	24.64724794328772	-83.60125381980981	-5.339811059284893
19.979134080374482	24.967636606844813	-67.04036137508643	-5.021930433342459
19.98315650205699	25.26895243284536	-53.78227660944979	-4.722625818183182
19.986383438653554	25.55230998193635	-43.16696223934433	-4.4408817373904395
19.988973456387914	25.818762886179776	-34.6663645739788	-4.175723842014217
19.99105343826235	26.06930631670063	-27.858016710800985	-3.9262204024305185
19.992724919265	26.30487954084646	-22.403921400542682	-3.6914829187860017
19.994069154549035	26.52636851597362	-18.033657568780075	-3.4706660613008586
19.995151174003162	26.73460847965167	-14.530865700285535	-3.262967107349955
19.996023025945178	26.930386506092667	-11.722436264796643	-3.06762500687994
19.996726372121067	27.11444400650546	-9.469860537675618	-2.8839191795550927
19.99729456375333	27.287479157278767	-7.662311306918473	-2.7111681245978967
19.997754302431744	27.45014924475464	-6.211107466158321	-2.5487279064612633
19.998126968879713	27.603072919142317	-5.045285699046577	-2.3959905652975655
19.998429686021655	27.74683235306017	-4.10805782334235	-2.2523824899506355
19.998676169491056	27.88197530245721	-3.3539766527947728	-2.1173627822882897
19.998877408090223	28.009017069394506	-2.746668665938259	-1.9904216346505854
19.99904220821018	28.128442367473543	-2.2570201150991385	-1.871078736631538
19.999177629417087	28.240707091671435	-1.8617258839756448	-1.758881723037062
19.999289332970125	28.346239995053658	-1.5421285416138628	-1.6534046714314419
19.99938186068262	28.445444275339543	-1.283289552150132	-1.5542466550017957
19.99945885805575	28.538699074639652	-1.0732462084779548	-1.461030354388202
19.999523252828258	28.626360895902945	-0.9024171449539563	-1.3734007305111704
19.999577397856957	28.708764939733616	-0.7631267137018836	-1.2910237591948788
19.99962318545978	28.78622636528531	-0.6492244524699892	-1.2135852274445864
19.999662138926926	28.859041478931985	-0.5557806265583745	-1.14078959053152
19.99969548576452	28.927488854363876	-0.47884263115686054	-1.0723588885183621
19.999724216322388	28.991830387674977	-0.4152400831572176	-1.0080317204861966
19.999749130727377	29.052312290904148	-0.36242886574106775	-0.9475622744595177
19.999770876459323	29.109166027371717	-0.31836633653350077	-0.8907194108579606
19.999789978439516	29.162609192023194	-0.2814114678855515	-0.837285797196574
19.99980686312759	29.212846339854988	-0.25024493411137383	-0.7870570917088577
19.999821877823635	29.260069765357517	-0.2238051575916998	-0.7398411735543171
19.99983530613309	29.304460235770776	-0.20123712323141063	-0.6954574172957249
19.99984738036048	29.34618768080852	-0.18185140873851352	-0.6537360093717381
19.999858291445005	29.385411841370825	-0.16509138876204546	-0.6145173043516973
19.99986819692833	29.422282879631926	-0.15050697923126166	-0.5776512188322586
19.99987722734708	29.456941952761863	-0.13773361488570557	-0.5429966609117123
19.999885491363976	29.489521752416564	-0.1264754143937745	-0.5104209932654526
19.99989307988884	29.52014701201249	-0.11649169656175332	-0.47979952793190556
19.999900069390634	29.548934983688405	-0.10758617816613039	-0.4510150510068918
19.999906524561325	29.575995886748817	-0.09959831819669276	-0.4239573755318237
19.999912500460418	29.601433329280727	-0.09239637983646404	-0.3985229209494431
19.99991804424321	29.625344704537692	-0.08587186753113571	-0.37461431758394703
19.99992319655526	29.64782156359273	-0.07993506483115873	-0.3521400346848908
19.999927992659153	29.66894996567382	-0.07451145355149535	-0.33101403065573476
19.999932463346365	29.688810807513164	-0.06953883864837089	-0.3111554241600172
19.999936635676683	29.707480132962765	-0.06496503825936721	-0.29248818487559697
19.99994053357898	29.7250294240553	-0.060746026501664614	-0.2749408427342127
19.99994417834057	29.741525874619352	-0.05684443901952761	-0.25844621455092986
19.99994758900691	29.75703264749241	-0.05322836920693014	-0.24294114701101716
19.999950782709064	29.77160911631307	-0.04987039749192789	-0.22836627504144574
19.999953774932912	29.785311092815554	-0.046746807545397145	-0.21466579465088248
19.999956579741365	29.798191040494608	-0.04383695240640101	-0.20178724937603967
19.999959209958508	29.81029827545717	-0.04112274104190426	-0.18968132952208439
19.999961677322972	29.821679155228495	-0.03858822148768539	-0.178301683432949
19.999963992616262	29.832377256234473	-0.03621924180685945	-0.16760474007368942
19.999966165770772	29.842433540638893	-0.034003173451438114	-0.15754954224647244
19.999968205961178	29.85188651317368	-0.03192868500031537	-0.14809758980691806
19.999970121682278	29.860772368562095	-0.02998555640689972	-0.13921269227906052
19.99997192081566	29.86912513009884	-0.02816452604499428	-0.13086083030899226
19.999973610687224	29.87697677991738	-0.026457164098008298	-0.12301002542621055
19.99997519811707	29.884357381442953	-0.02485576746731418	-0.11563021761561039
19.999976689463118	29.89129519449989	-0.023353271946354396	-0.10869315023166902
19.999978090659436	29.89781678351379	-0.02194317852726961	-0.102172261815971
19.999979407250148	29.90394711922275	-0.020619491243062525	-0.09604258440234575
19.999980644419622	29.90970967428689	-0.019376664332055888	-0.09028064792292319
19.99998180701948	29.915126513162267	-0.018209557142600197	-0.08486439034748734
19.999982899592908	29.920218376583115	-0.017113395333127706	-0.07977307321336219
19.999983926396627	29.925004760975916	-0.016083737330860756	-0.07498720222237773
19.999984891420866	29.929503993109257	-0.015116445099318589	-0.07048845260121289
19.99998579840757	29.93373330026533	-0.0142076584925643	-0.06625959893841273
19.999986650867083	29.937708876201636	-0.013353772680772948	-0.062284449231885454
19.999987452093443	29.94144594315555	-0.012551418086516932	-0.0585477828911905
19.99998820517853	29.944958810129023	-0.01179744243960009	-0.055035292460229195
19.999988913025074	29.948260927676635	-0.011088894753248582	-0.051733528835950705
19.99998957835876	29.951364939406794	-0.010423010773118212	-0.04862984977256728
19.999990203739408	29.95428273039315	-0.00979719988025817	-0.04571237147658813
19.9999907915714	29.957025472681746	-0.009209033082138838	-0.04296992310391978
19.999991344113383	29.95960366806798	-0.00865623207251172	-0.040392003988706765
19.999991863487306	29.962027188307303	-0.008136659218579343	-0.03796874343636974
19.99999235168686	29.964305312913485	-0.0076483083093263635	-0.035690862929977404
19.999992810585358	29.966446764689284	-0.007189296055662791	-0.03354964060344139
19.99999324194312	29.96845974312549	-0.006757854173414888	-0.03153687784605458
19.99999364741437	29.970351955796254	-0.0063523220927380565	-0.029644867910900388
19.999994028553697	29.97213064787091	-0.005971140185988606	-0.027866366405925314
19.99999438682211	29.973802629855264	-0.005612843425551439	-0.02619456355576702
19.999994723592714	29.97537430366861	-0.005276055522617824	-0.02462305812778258
19.999995040156044	29.976851687156277	-0.0049594834053980465	-0.023145832921725607
19.99999533772505	29.97824043713158	-0.00466191211211699	-0.021757231730980653
19.999995617439776	29.979545871035437	-0.004382200024752781	-0.02045193768443381
19.999995880371777	29.980772987296504	-0.004119274328099501	-0.01922495288942759
19.999996127528238	29.98192648446987	-0.003872126853228206	-0.018071579294277617
19.99999635985585	29.983010779227527	-0.003639810139529338	-0.016987400700426144
19.999996578244456	29.984030023269554	-0.0034214337402776705	-0.01596826585270346
19.99999678353048	29.984988119220716	-0.003216160752355304	-0.01501027254448088
19.999996976500125	29.985888735573386	-0.0030232046213305884	-0.014109752676692882
19.999997157892402	29.986735320733988	-0.0028418260453379317	-0.01326325821224323
19.999997328401964	29.987531116226723	-0.0026713301665659906	-0.012467547974218736
19.999997488681775	29.988279169105176	-0.002511063856809823	-0.011719575235675865
19.999997639345604	29.988982343619316	-0.00236041323736762	-0.011016476053520012
19.9999977809704	29.989643332182528	-0.0022188012632203247	-0.010355558302649061
19.999997914098476	29.990264665680687	-0.0020856855717752685	-0.009734291368498465
19.99999803923961	29.9908487231628	-0.0019605563403256275	-0.009150296457007432
19.99999815687299	29.99139774095022	-0.001842934360591144	-0.00860133748627753
19.99999826744905	29.991913821199397	-0.0017323691877685831	-0.008085312525104804
19.999998371391204	29.992398939950903	-0.0016284373976895772	-0.007600245744733609
19.99999846909745	29.992854954695588	-0.0015307410028077583	-0.007144279853168314
19.999998560941908	29.993283611486778	-0.0014389058936269627	-0.006715668984208083
19.99999864727626	29.99368655162583	-0.0013525803975842443	-0.006312772012289134
19.999998728431084	29.994065317946568	-0.0012714339544478116	-0.005934046269008864
19.999998804717123	29.994421360722708	-0.0011951558321915102	-0.005578041635822047
19.999998876426474	29.994756043220857	-0.0011234539585510462	-0.005243394992402059
19.999998943833713	29.9950706469204	-0.001056053777655901	-0.004928824996473668
